lon,lat,psi,u,v,r,id
-73.9683,40.5381,2.61799,3,-0.00538171,-6.81893e-08,4077
-73.9247,40.5659,1.0472,3,-0.000251178,-4.66754e-08,5665
-73.9532,40.5295,-1.60491e-07,3,4.56668e-07,2.20346e-07,4067
-73.9616,40.5443,1.5708,3,0.00538141,1.30303e-07,4063
-73.9708,40.5381,2.0944,3,-0.00025132,-1.1536e-07,5336
-73.9452,40.5512,2.0944,3,-0.00538194,-1.83201e-07,4062
-73.9442,40.5514,1.5708,3,-3.39329e-07,-1.62854e-07,4061
-73.9546,40.5274,-0.523599,3,0.00538204,2.28148e-07,4057
-73.9598,40.5481,2.61799,3,-0.00538209,-8.2525e-08,4047
-73.9591,40.5487,2.0944,3,-0.000251405,-1.59552e-07,4046
-73.9364,40.5406,-4.53852e-07,3,0.00538147,1.59484e-07,4043
-73.9572,40.5495,2.0944,3,-0.000251198,-5.88922e-08,4032
-73.9659,40.5208,-1.0472,3,0.00538171,6.77238e-08,4019
-73.9549,40.5543,2.0944,3,-0.0053813,-7.57954e-08,5686
-73.9386,40.5378,-3.9646e-07,3,1.2419e-05,6.37969e-08,4001
-73.9388,40.5371,-0.523599,3,0.00538173,7.52066e-08,4000
-73.9378,40.5385,-0.523599,3,0.00538172,7.10446e-08,3991
-73.9539,40.527,-0.523599,3,0.000251462,1.8786e-07,3989
-73.9624,40.5453,1.5708,3,-8.1183e-07,-3.94818e-07,3983
-73.9726,40.5346,2.61799,3,-0.00538199,-3.2383e-08,3972
-73.9719,40.5351,2.0944,3,-0.000251366,-1.39811e-07,3971
-73.946,40.5318,1.29641e-07,3,7.61252e-07,7.47588e-08,3964
-73.9462,40.531,-0.523599,3,0.00538205,2.35619e-07,3963
-73.9651,40.5444,2.61799,3,-0.00538199,-3.24942e-08,5443
-73.9507,40.5312,-0.523599,3,0.000251638,2.73495e-07,3958
-73.9605,40.5461,1.5708,3,-9.07873e-08,-4.0736e-08,3952
-73.9517,40.5298,-0.523599,3,0.000251449,1.81456e-07,3940
-73.9687,40.5372,2.0944,3,-1.24389e-05,-7.25825e-08,3937
-73.9573,40.5246,-0.523599,3,0.000251152,3.32791e-08,4445
-73.9501,40.53,-2.42618e-07,3,3.11874e-07,1.34249e-07,3928
-73.9533,40.5523,1.5708,3,-2.2339e-07,-9.26722e-08,3920
-73.9396,40.5349,-0.523599,3,0.00538184,1.32029e-07,5278
-73.9474,40.5354,-0.523599,3,0.000251333,1.25142e-07,3912
-73.9719,40.5363,2.0944,3,-1.26357e-05,-1.7089e-07,5817
-73.9617,40.5224,-1.0472,3,0.00538199,3.23694e-08,3902
-73.9662,40.5413,2.61799,3,-0.00538199,-3.23267e-08,3898
-73.9655,40.5419,2.0944,3,-0.000251145,-3.04447e-08,3897
-73.9697,40.5383,2.0944,3,-0.00538184,-1.30767e-07,3892
-73.9655,40.5205,-0.523599,3,9.40744e-07,1.70381e-07,5709
-73.9485,40.534,-0.523599,3,0.000251773,3.39644e-07,3888
-73.9586,40.547,1.5708,3,-1.17455e-07,-5.36019e-08,3906
-73.9548,40.5526,2.0944,3,-0.000251375,-1.38376e-07,3879
-73.958,40.5505,2.0944,3,-0.00538201,-2.16549e-07,4027
-73.9449,40.5332,-3.53848e-07,3,7.48225e-07,6.95439e-08,3873
-73.9451,40.5325,-0.523599,3,0.00538198,2.03194e-07,3872
